time,iteration,gap
0.08168983459472656,1,inf
0.17759203910827637,2,inf
0.25580286979675293,3,inf
0.32938694953918457,4,inf
0.45927906036376953,5,inf
0.5548748970031738,6,inf
0.6349968910217285,7,inf
0.7270779609680176,8,inf
0.832744836807251,9,inf
1.0357708930969238,10,0.11958488610156896
1.1280059814453125,11,0.13596868458623018
1.2274160385131836,12,0.13596868458623018
1.4595420360565186,13,0.1472424379717282
2.0013179779052734,14,0.1472424379717282
2.9730889797210693,15,0.15474117285578415
5.194013833999634,16,0.15474117285578415
7.594103097915649,17,0.15492178219285452
8.477842807769775,18,0.16558297637191643
9.355716943740845,19,0.16558297637191643
10.818328142166138,20,0.11912634047277287
12.086719036102295,21,0.12397835675097842
13.46518611907959,22,0.12397835675097842
15.209558010101318,23,0.12397835675097842
17.49034094810486,24,0.12397835675097842
19.482194900512695,25,0.12397835675097842
21.706288814544678,26,0.12397835675097842
24.43795895576477,27,0.14344957699777516
27.76932692527771,28,0.14618245740718724
30.765617847442627,29,0.14857103570293026
33.485097885131836,30,0.14857103570293037
36.06323194503784,31,0.14857103570293037
39.66009497642517,32,0.15542608987769632
42.45835590362549,33,0.15542608987769632
45.84904503822327,34,0.15542608987769632
49.11302399635315,35,0.15542608987769632
52.6102499961853,36,0.17428454229947465
57.09115791320801,37,0.17763789281898448
60.39129590988159,38,0.17843684694306838
63.70273995399475,39,0.20259669680730177
68.208251953125,40,0.19369518230316715
72.34156012535095,41,0.19391273525106054
76.82307505607605,42,0.19391273525106054
80.9189100265503,43,0.20660762197245786
86.92837595939636,44,0.2080915039544524
91.33057498931885,45,0.2080915039544524
95.70010280609131,46,0.2080915039544524
100.06894111633301,47,0.2080915039544524
104.37208986282349,48,0.20826672331363597
108.96575474739075,49,0.00022126212821121458
