instance_id,node_id,depth,cg_iter,lp_obj_before_pricing,cuts_added_this_iter,cuts_added_rcc,cuts_added_clique,cuts_added_sri,new_columns_added,active_columns,is_integral,art_violation,iter_runtime_sec
data2_case_local,0,0,1,106.10333498430317,0,0,0,0,40,225,0,inf,0.053658246994018555
data2_case_local,0,0,2,106.10333498430317,0,0,0,0,40,265,0,inf,0.0957481861114502
data2_case_local,0,0,3,106.10333498430316,0,0,0,0,40,305,0,inf,0.07803201675415039
data2_case_local,0,0,4,104.10194316491808,0,0,0,0,40,345,0,inf,0.07334589958190918
data2_case_local,0,0,5,103.96217857113552,0,0,0,0,40,385,0,inf,0.12964701652526855
data2_case_local,0,0,6,103.96217857113551,0,0,0,0,40,425,0,inf,0.09543108940124512
data2_case_local,0,0,7,103.96217857113551,0,0,0,0,40,465,0,inf,0.07999324798583984
data2_case_local,0,0,8,102.66838689773098,0,0,0,0,40,505,0,inf,0.0919339656829834
data2_case_local,0,0,9,102.66838689773098,0,0,0,0,40,545,0,inf,0.10553908348083496
data2_case_local,0,0,10,102.66838689773098,0,0,0,0,40,585,0,inf,0.18626880645751953
data2_case_local,0,0,11,100.75781297058721,0,0,0,0,40,625,0,inf,0.09185791015625
data2_case_local,0,0,12,100.75781297058722,0,0,0,0,40,665,0,inf,0.09926486015319824
data2_case_local,0,0,13,99.44313986229997,0,0,0,0,40,705,0,inf,0.23183989524841309
data2_case_local,0,0,14,99.44313986229997,0,0,0,0,40,745,0,inf,0.5415961742401123
data2_case_local,0,0,15,98.56868529857631,0,0,0,0,40,785,0,inf,0.9716129302978516
data2_case_local,0,0,16,98.56868529857631,0,0,0,0,40,825,0,inf,2.2208032608032227
data2_case_local,0,0,17,98.54762379133619,0,0,0,0,40,865,0,inf,2.399925947189331
data2_case_local,0,0,18,97.30438342495825,0,0,0,0,40,905,0,inf,0.8835701942443848
data2_case_local,0,0,19,97.30438342495825,0,0,0,0,40,945,0,inf,0.8777351379394531
data2_case_local,0,0,20,97.06437621369463,0,0,0,0,40,985,0,inf,1.4258918762207031
data2_case_local,0,0,21,96.5297275403815,0,0,0,0,40,1025,0,inf,1.2681901454925537
data2_case_local,0,0,22,96.52972754038153,0,0,0,0,40,1065,0,inf,1.3783438205718994
data2_case_local,0,0,23,96.5297275403815,0,0,0,0,40,1105,0,inf,1.7442541122436523
data2_case_local,0,0,24,96.5297275403815,0,0,0,0,40,1145,0,inf,2.280545949935913
data2_case_local,0,0,25,96.5297275403815,0,0,0,0,40,1185,0,inf,1.991713047027588
data2_case_local,0,0,26,96.52972754038151,0,0,0,0,40,1225,0,inf,2.2239561080932617
data2_case_local,0,0,27,94.38417371783997,0,0,0,0,40,1265,0,inf,2.730982780456543
data2_case_local,0,0,28,94.08303480951051,0,0,0,0,40,1305,0,inf,3.3310599327087402
data2_case_local,0,0,29,93.81983490586224,0,0,0,0,40,1345,0,inf,2.9961321353912354
data2_case_local,0,0,30,93.81983490586222,0,0,0,0,40,1385,0,inf,2.6770741939544678
data2_case_local,0,0,31,93.81983490586222,0,0,0,0,40,1425,0,inf,2.5778701305389404
data2_case_local,0,0,32,93.06446942275554,0,0,0,0,40,1465,0,inf,3.5967049598693848
data2_case_local,0,0,33,93.06446942275554,0,0,0,0,40,1505,0,inf,2.798145055770874
data2_case_local,0,0,34,93.06446942275554,0,0,0,0,40,1545,0,inf,3.390563726425171
data2_case_local,0,0,35,93.06446942275554,0,0,0,0,40,1585,0,inf,3.263859272003174
data2_case_local,0,0,36,90.98643711826139,0,0,0,0,40,1625,0,inf,3.4970598220825195
data2_case_local,0,0,37,90.61692796915506,0,0,0,0,40,1665,0,inf,4.480759143829346
data2_case_local,0,0,38,90.52889039096344,0,0,0,0,40,1705,0,inf,3.2999799251556396
data2_case_local,0,0,39,87.8666916396159,0,0,0,0,40,1745,0,inf,3.3111469745635986
data2_case_local,0,0,40,87.80235420468395,0,0,0,0,40,1785,0,inf,4.4414849281311035
data2_case_local,0,0,41,87.77866383279238,0,0,0,0,40,1825,0,inf,4.133017063140869
data2_case_local,0,0,42,87.77866383279238,0,0,0,0,40,1865,0,inf,4.4813618659973145
data2_case_local,0,0,43,86.39625743258708,0,0,0,0,40,1905,0,inf,4.095563888549805
data2_case_local,0,0,44,86.2346704886405,0,0,0,0,40,1945,0,inf,6.009302854537964
data2_case_local,0,0,45,86.2346704886405,0,0,0,0,40,1985,0,inf,4.402039051055908
data2_case_local,0,0,46,86.2346704886405,0,0,0,0,40,2025,0,inf,4.369395971298218
data2_case_local,0,0,47,86.2346704886405,0,0,0,0,40,2065,0,inf,4.368696212768555
data2_case_local,0,0,48,86.2155900219226,0,0,0,0,30,2095,0,inf,4.302840232849121
data2_case_local,0,0,49,86.2155900219226,0,0,0,0,0,2095,0,0.0,4.555906772613525
